Publication_Type,Title,Authors_Standardized,Publication_Year,Journal_Venue,Publisher,Usage_Type,Usage_Justification,Usage_Description,Research_Domain,Geographic_Focus,Data_Years_Used,Key_Findings,Policy_Implications,DOI_URL,Notes
ACADEMIC,Hub and Spoke Framework for Study of Surgical Centralization within United States Health Systems,K Broman; [+ others],2023,American Journal of Surgery,University of Alabama at Birmingham,PRIMARY_ANALYSIS,"AHRQ is used to ""define 382 health systems"" and extract their characteristics. These definitions and characteristics form the basis of their analysis. The finding about teaching status association is based on these AHRQ-defined structures/characteristics.","Used 2018 AHRQ Compendium to define 382 health systems and their member hospitals, and to extract system-level characteristics including size, ownership, and teaching status for analyzing surgical centralization",Consolidation & Mergers,USA,2018,"The 2018 AHRQ Compendium identified 382 health systems for analysis;  teaching status (an AHRQ-derived characteristic) was significantly associated with less surgical centralization (beta -0.503 for major teaching systems), showing that system structure defined by AHRQ data impacts surgical distribution.",The AHRQ-derived finding that teaching status is linked to less surgical centralization supports policy considerations for evaluating both centralization and AHRQ-defined system characteristics like teaching status when assessing or designing health systems for optimal surgical quality,10.1016/j.amjsurg.2023.05.006,
ACADEMIC,Whoâ€™s Accountable? Low-Value Care Received By Medicare Beneficiaries Outside Of Their Attributed Health Systems,"Ishani Ganguli, Maia L Crawford, Benjamin Usadi,; [+ others]",2023,Health Aff (Millwood),Brigham and Womenâ€™s Hospital,RESEARCH_ENABLER,"AHRQ data is used to ""identify... health systems and their characteristics."" This identification is the ""basis for beneficiary attribution"" and subsequent analysis.The core finding is about % of low-value services, AHRQ helps define who those services are attributed to.",Used 2018 AHRQ Compendium to identify 595 US health systems and their characteristics for attributing Medicare beneficiaries and analyzing out-of-system low-value care receipt,Quality & Outcomes,USA,2018,595 US health systems were identified using the 2018 AHRQ Compendium as the basis for beneficiary attribution in a low-value care study,The finding that 43% of low-value services for attributed beneficiaries originates out-of-system supports policy makers including specific low-value care metrics in alternative payment model performance measures,https://pmc.ncbi.nlm.nih.gov/articles/PMC10860675/,
GOVERNMENT,Compounding Certain Ibuprofen Oral Suspension under 503B,Food & Drug Administration,2023,FDA Guidance for Industry,U.S. Food & Drug Administration,CONTEXTUAL_REFERENCE,"Explicitly using the AHRQ ""definition of 'health system'"" to frame policy. This is AHRQ providing a conceptual/definitional framework",Cites 2021 AHRQ Compendium definition of 'health system' to frame policy scope for compounding rules.,Methodology & Data Quality,USA,,Integrates AHRQ healthâ€‘system definition into federal compounding guidance.,Extends regulatory clarity by aligning FDA terminology with AHRQ taxonomy.,https://www.fda.gov/media/164693/download,New legal/regulatory reference
POLICY,Re: Docket No. ATR 102: Request for Information on Consolidation in Health Care Markets,Tochi Iroku-Malize (AAFP),2024,"Response to RFI (DOJ, HHS, FTC)",American Academy of Family Physicians,CONTEXTUAL_REFERENCE,"Citing an AHRQ-derived statistic (via another article) ""for illustrating the accelerating trend."" This is context.","Referenced a Health Affairs article that analyzed 2021 AHRQ Compendium data to report that 51 percent of primary care practices were hospital-affiliated in 2021, for illustrating the accelerating trend of primary care consolidation.",Consolidation & Mergers,USA,2021,"The AHRQ Compendium data, via a cited Health Affairs article, revealed that 51 percent of primary care practices were hospital-affiliated in 2021, a statistic used to quantify the significant increase in primary care consolidation.","The AHRQ Compendium-informed statistic highlighting that 51 percent of primary care practices were hospital-affiliated by 2021 directly supports the AAFP's specific policy recommendations to federal agencies aimed at mitigating primary care consolidation, such as implementing site-neutral payments and enhancing antitrust enforcement.",https://www.ohioafp.org/wp-content/uploads/AAFP_Response_Tri-Agency_RFI_Healthcare_Consolidation.pdf,
POLICY,"LUGPA Policy Brief: Hospital Consolidation, Mergers, and Acquisitions",LUGPA,2023,LUGPA,LUGPA,CONTEXTUAL_REFERENCE,"Citing an AHRQ-derived statistic (via another article) ""for contextualizing policy discussion.""",Cited a 2020 Health Affairs article which used the 2018 AHRQ Compendium to state the percentage of physicians and hospitals affiliated with health systems for contextualizing policy discussion on hospital consolidation.,Consolidation & Mergers,USA,2018,"In 2018, 72% of hospitals and over half of physicians were affiliated with one of 637 health systems identified via the AHRQ Compendium, highlighting significant market consolidation.","The finding that 72% of hospitals and over half of physicians were system-affiliated in 2018 (from AHRQ Compendium via Health Affairs) supports increased FTC/DOJ antitrust oversight, higher merger review thresholds, and COPA law reform.",https://www.lugpa.org/hospital-consolidation--mergers--and-acquisitions,
POLICY,"Health Care Consolidation: Background, Consequences, and Policy Levers","ERIN C. FUSE BROWN, JD, MPH",2023,Alliance for Fair Health Pricing,Alliance for Fair Health Pricing,CONTEXTUAL_REFERENCE,"Using AHRQ ""as a source for the statistic... for illustrating the extent..."" This is citing a fact for context.",Used 2021 AHRQ Compendium as a source for the statistic that 13 health systems accounted for 25 percent of US hospital beds for illustrating the extent of market concentration.,Consolidation & Mergers,USA,2021,"The 2021 AHRQ Compendium data showed that 13 health systems accounted for 25 percent of US hospital beds, a finding used to highlight the high degree of market concentration.",The finding from the 2021 AHRQ Compendium that 13 health systems control 25 percent of US hospital beds supports policy actions to strengthen antitrust oversight and increase data collection for monitoring health care consolidation and its impacts.,https://allianceforfairhealthpricing.org/wp-content/uploads/sites/203/Health-Care-Consolidation-Background-Consequences-and-Policy-Levers_AFFHP_9.13.2023-1.pdf,
ACADEMIC,"Physician mergers involve 38% of doctors, substantial health system participation, and frequent serial acquisition",Daniel Deibler; [+ others],2025,Health Affairs Scholar,Federal Trade Commission,PRIMARY_ANALYSIS,"AHRQ identifies affiliation, which is then directly quantified in merger participation","Used 2016 and 2018 AHRQ Health System Compendia to identify physician firms (TINs) as health system-affiliated, enabling analysis of health system participation in 2019 physician mergers",Consolidation & Mergers,Multi-state,"2016, 2018","AHRQ Compendia data facilitated the finding that health care systems were involved in approximately 40% of 2019 identified physician mergers, indicating significant health system activity in practice consolidation","The finding of substantial health system involvement (40% of physician mergers, identified using AHRQ data) supports increased antitrust scrutiny and research into the competitive effects of such mergers, especially serial acquisitions by systems",https://doi.org/10.1093/haschl/qxaf061,
ACADEMIC,Hospital Mergers and Acquisitions From 2010 to 2019: Creating a Valid Public Use Database,"Hyesung Oh, Vincent Mor, Daeho Kim,; [+ others]",2025,Health Services Research,Brown University School of Public Health,CONTEXTUAL_REFERENCE,"Referencing AHRQ ""as an existing data resource... which their new database... aims to complement."" This is acknowledging AHRQ as a resource in the field.","Referenced the AHRQ Compendium as an existing data resource disseminated by AHRQ for hospital M&A A information, which their new database (2010-2019) aims to complement.",Methodology & Data Quality,USA,2016 (mentioned as start year for AHRQ data in the text),"No AHRQ-derived statistic is presented as a key finding in this paper, as the AHRQ Compendium is mentioned contextually as a complementary existing data resource for M&A information","The acknowledgement of the AHRQ Compendium as a data source, alongside the paper's focus on data accuracy, supports efforts by agencies like AHRQ to continue disseminating and improving data resources for research that informs antitrust and healthcare policy.",,
ACADEMIC,Postoperative outcomes following lung resection performed at private equityâ€“acquired hospitals,"Jonathan E. Williams, Sara L. Schaefer, Ryan C. Jacobs,; [+ others]",2025,The Journal of Thoracic and Cardiovascular Surgery,University of Michigan,RESEARCH_ENABLER,"AHRQ data is used ""to identify which hospitals were private equity–acquired."" This identification creates the cohort/groups for their comparative study. The finding ""7.7 percent... received care at private equity-acquired hospitals"" is based on this AHRQ identification. The 7.7% finding describes the cohort created via AHRQ, but the main analysis is on outcomes for this group vs others.",Used 2021 and 2023 AHRQ Compendium data to identify which hospitals were private equityâ€“acquired for a study comparing postoperative lung resection outcomes.,Quality & Outcomes,USA,"2021, 2023","Using the AHRQ Health System Compendium for hospital classification, the study identified that 7.7 percent (11,140 out of 144,223) of Medicare beneficiaries undergoing lung resection received care at private equity-acquired hospitals.","The AHRQ Compendium's utility in identifying private equity-acquired hospitals (at which 7.7 percent of study patients received care) enables research on care quality, thereby supporting calls for further investigation and potential regulatory scrutiny of specialty surgical care at such institutions.",https://doi.org/10.1016/j.jtcvs.2024.12.034,
ACADEMIC,Esophagectomy Trends and Postoperative Outcomes at Private Equityâ€“Acquired Health Centers,"Jonathan E. Williams, Sara L. Schaefer, Ryan C. Jacobs,; [+ others]",2025,JAMA Surgery,American Medical Association,RESEARCH_ENABLER,"Similar to #44. AHRQ is used ""to designate health centers as private equity acquired."" This defines the group for outcome comparison. The finding ""517 patients (5.5% of cohort) received esophagectomy at... PE-acquired"" describes the cohort",Used 2020 AHRQ Compendium to designate health centers as private equity acquired for comparing esophagectomy outcomes.,Quality & Outcomes,USA,2020,517 patients (5.5% of cohort) received esophagectomy at health centers designated as private equityâ€“acquired using the AHRQ Compendium.,Higher 30-day mortality (8.1%) at PE-acquired hospitals (designated via AHRQ Compendium) supports policy informing care allocation or motivating quality improvement for esophagectomy at these centers.,https://jamanetwork.com/journals/jamasurgery/article-abstract/2828533,
ACADEMIC,"Cost, Quality, and Utilization After Hospital-Physician and Hospital-Post Acute Care Vertical Integration: A Systematic Review",Alexandra Harris; [+ others],2024,Medical Care Research and Review,Northwestern University,RESEARCH_ENABLER,"The authors are ""summarizing its [AHRQ's] application in primary research... to define health system structures for this review's synthesis."" They are using how others used AHRQ (definitions of system structures) to inform their own review's framework.They are building their review's definitional/structural framework based on how AHRQ is applied","Used AHRQ Compendium by summarizing its application in primary research (e.g. Johnston et al. 2020, Machta et al. 2020) to define health system structures for this review's synthesis of vertical integration effects",Consolidation & Mergers,USA,"2016, 2018 (referenced in studies reviewed)","This review includes studies like Johnston et al. (2020) which used the AHRQ Compendium to define system-affiliated clinicians and found they had higher mean MIPS scores (79.0 vs 60.3), illustrating the Compendium's utility in the evidence base on vertical integration synthesized herein",The inclusion of research leveraging the AHRQ Compendium (e.g. Johnston et al.'s finding on MIPS scores for system-affiliated clinicians) in this review highlights the value of such data for policymakers examining the effects of vertical integration and informing antitrust scrutiny,10.1177/10775587241247682,
ACADEMIC,What explains the growth in hospital assets from 2000 through 2019? A decomposition analysis,Stephanie Teeple; [+ others],2025,Health Affairs Scholar,"University of Pennsylvania, Weill Cornell Medical College",PRIMARY_ANALYSIS,"AHRQ defines hospital affiliation. This definition enables the variance partition analysis. The key finding ""31.8% of the overall variation... was attributable to differences between health care systems"" results directly from applying this AHRQ-defined structure in their analysis. The analysis quantifies a component of variance based on the AHRQ-defined system structure.","Used the 2018 AHRQ Compendium to define hospital affiliation with health systems, enabling a variance partition analysis of hospital total assets across hospital, system, and market levels",Health Equity & Access,USA,2018,"Using the 2018 AHRQ Compendium to classify hospitals by system, the study found that 31.8% of the overall variation in US hospital total assets was attributable to differences between health care systems, demonstrating that system affiliation is a significant factor in asset distribution",The finding that a substantial portion (31.8%) of hospital asset variation occurs between health systems (as defined by AHRQ Compendium data) underscores the need for policymakers to consider system-level financial structures when addressing resource allocation and financial disparities in health care,https://pmc.ncbi.nlm.nih.gov/articles/PMC11797385/,
POLICY,Employment of Advanced Practice Clinicians in Vertically Integrated Health Systems Reflects Larger Trends Toward Consolidation,"Jones D., Furukawa M., Machta R., Bierman A., Rich E.",2021,Mathematica Health System Research Brief,Mathematica Policy Research / AHRQ CHSP,PRIMARY_ANALYSIS,"AHRQ Compendium (system roster) is linked with other data to ""measure NP/PA employment patterns by system affiliation."" The finding ""4 in 10 NPs/PAs employed by system-affiliated practices"" is a direct result.",Linked 2018 Compendium system roster with IQVIA OneKey to measure NP/PA employment patterns by system affiliation.,Vertical Integration,USA,2018,4 in 10 NPs/PAs employed by system-affiliated practices; concentration in hospitals & lucrative specialties.,Suggests consolidation expands nonâ€‘physician care teams; informs workforce & scopeâ€‘ofâ€‘practice policy.,https://www.mathematica.org/publications/employment-of-advanced-practice-clinicians-in-vertically-integrated-health-systems-reflects-larger,
POLICY,One-Third of U.S. Health Systems Offered a Health Plan in 2018,"Kimmey L., Jones D., Furukawa M., Machta R., Miller D., Rich E.",2021,Mathematica Health System Research Brief,Mathematica Policy Research / AHRQ CHSP,PRIMARY_ANALYSIS,"AHRQ Compendium used to ""identify systems and documented prevalence."" The finding ""≈33% of systems offered a health plan"" is a direct output from AHRQ data.",Used 2018 Compendium to identify systems and documented prevalence of providerâ€‘sponsored insurance offerings.,Vertical Integration,USA,2018,"â‰ˆ33â€¯% of systems offered a health plan; prevalence higher among large, wellâ€‘resourced systems.",Underscores diversification; raises questions about competition and patient benefit of insurer integration.,https://www.mathematica.org/publications/one-third-of-us-health-systems-offered-a-health-plan-in-2018,
ACADEMIC,Does physician-hospital vertical integration signal care-coordination? Evidence from mover-stayer analysis of commercially insured enrollees,"William Encinosa, Avi Dor",2025,Journal of Health Economics,AHRQ / George Washington University,CONTEXTUAL_REFERENCE,"Citing an AHRQ-derived statistic (via Furukawa et al.) ""for background context."" Also references AHRQ's validation work (another contextual reference to AHRQ's broader activities).","Cited Furukawa et al. (2020) analysis of 2016 and 2018 AHRQ Compendium data to state that PCP integration rose from 38% to 49% for background context, and referenced AHRQ's validation work (Kimmey et al., 2019 - Compendium documentation) for the IQVIA data",Vertical Integration,USA,"2016, 2018","The study cited Furukawa et al. (2020 using 2016 and 2018 AHRQ Compendium data) showing PCP integration with hospital systems increased from 38% to 49%, establishing the context of rapidly growing vertical integration for their research.","The AHRQ Compendium-informed statistic of PCP integration rising to 49% by 2018 (via Furukawa et al.) contextualizes the paper's findings on care coordination, supporting a nuanced regulatory approach to vertical integration by FTC/DOJ that considers efficiencies beyond price.",https://doi.org/10.1016/j.jhealeco.2025.102997,x
ACADEMIC,How do hospitals exert market power? Evidence from health systems and commercial health plan prices,"Suhui Li, David Jones, Eugene Rich,; [+ others]",2025,Health Affairs Scholar,Mathematica / AHRQ,PRIMARY_ANALYSIS,"Citing an AHRQ-derived statistic (via Furukawa et al.) ""for background context."" Also references AHRQ's validation work (another contextual reference to AHRQ's broader activities).",Used 2022 AHRQ Compendium of US Health Systems Hospital Linkage File to identify hospital affiliations with health systems for calculating hospital-system market concentration and its impact on commercial prices.,Market Power & Pricing,USA,2022,"The median hospital-system HHI was 5078, calculated using health system affiliations from the 2022 AHRQ Compendium to assess market concentration.",The finding that insurer bargaining leverage is lessened in highly concentrated hospital markets (identified using AHRQ Compendium data) supports policymakers considering both hospital and insurer market forces in oversight of health care markets.,https://academic.oup.com/healthaffairsscholar/article/3/1/qxae179/7958335,
POLICY,Updated Estimates of Site Neutrality and Evaluation of the Cassidy-Hassan Framework,"Tim Bulat, Ryan Brake",2025,Actuarial Research Corporation,Actuarial Research Corporation,PRIMARY_ANALYSIS,"The AHRQ Compendium is directly used to ""identify hospital ownership and determine the proportion"" (e.g., 64% rural, 57% high-needs hospitals are chain-affiliated). These identified proportions are key data points derived from AHRQ data that are then used for the evaluation, making it a direct analysis of Compendium data to produce these foundational statistics for their report",Used 2023 AHRQ Compendium of U.S. Health Systems to identify hospital ownership and determine the proportion of rural and high-needs hospitals affiliated with multi-hospital chains for evaluating the Cassidy-Hassan framework's reinvestment component,Rural Health,USA,2023,The 2023 AHRQ Compendium data indicated 64% of rural hospitals and 57% of high-needs hospitals are part of multi-hospital chain; this system affiliation profile is crucial for assessing how site-neutrality reinvestment under the Cassidy-Hassan framework might affect these hospitals,The AHRQ-based finding that many rural (64%) and high-needs (57%) hospitals are system-affiliated suggests that reinvestment strategies within site-neutrality policies like the Cassidy-Hassan framework must account for these broader system dynamics to effectively target support,https://assets.arnoldventures.org/uploads/PDFs/Updated-Estimates-of-Site-Neutral-and-C-H-Evaluation-2025.05.19.pdf,
OTHER,"An Analysis of U.S. Health Systems: Factors Associated with Profitability, Efficiency and Quality Performance",Murray R.C.,2021,Georgetown University MPP Thesis,Georgetown University McCourt School,PRIMARY_ANALYSIS,"The Compendium files are used to ""build system dataset"" and then this dataset (containing AHRQ system characteristics) is directly used to ""regress profitability, efficiency, quality against system characteristics."" This is a direct statistical analysis of AHRQ-derived data to find relationships.","Used 2016 & 2018 Compendium files to build system dataset and regress profitability, efficiency, quality against system characteristics.",Quality & Outcomes,USA,2016-2018,Larger systems more profitable but not consistently more efficient or higher quality.,Adds evidence questioning scale efficiencies in health systems.,https://repository.library.georgetown.edu/handle/10822/1059592,
ACADEMIC,The Missed Opportunity of Primary Care Providersâ€™ Online Biographies: a Content Analysis of US Health Systems in 2020,"Evan K Perrault, Jessie A Barton, Prince Adu Gyamfi",2021,J Gen Intern Med,Not specified in document,RESEARCH_ENABLER,"The AHRQ Compendium is used explicitly ""to create a sampling frame."" This is a foundational methodological step that defines the population from which the study's primary data (content of biographies) will be drawn. AHRQ enables the study design.","Used 2016 AHRQ Compendium to identify 626 US health systems, from which 523 were selected, to create a sampling frame for analyzing the content of primary care provider online biographies on health system websites",Health Equity & Access,USA,2016,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used for establishing the sampling frame of US health systems for subsequent content analysis of provider biographies","The use of the AHRQ Compendium to sample US health systems enabled an analysis identifying deficiencies in online provider biographies, supporting the policy consideration that health systems should improve this information to enhance patient-centered care and health literacy regarding provider credentials",https://doi.org/10.1007/s11606-020-06485-8,
OTHER,Comparison of System Affiliated Hospitals Identified By the American Hospital Associationâ€™s Annual Survey and the Agency for Healthcare Research and Qualityâ€™s Compendium of U.S. Health Systems,Bonnie Jin; [+ others],2022,AcademyHealth ARM Poster,University of Pittsburgh,PRIMARY_ANALYSIS,"The AHRQ Compendium is a primary subject of the study. Its data is extracted (""identify system-affiliated hospitals"") and then directly compared against another dataset (AHA) to generate the core findings about differences between the two sources. The analysis is of the Compendium data itself in relation to another dataset",Used 2018 AHRQ Compendium of U.S. Health Systems to identify system-affiliated hospitals for comparison with the AHA Annual Survey to determine if systematic differences exist between the hospitals identified in each database and to summarize differences between the two sources,Methodology & Data Quality,USA,2018,"The 2018 AHRQ Compendium uniquely identified 879 system-affiliated hospitals which, when compared to AHA-only identified hospitals, were more likely to be non-profit, teaching, or critical access hospitals and have more admissions, beds, and physicians, though 294 of these AHRQ-only hospitals were absent from the AHA survey","The AHRQ Compendium's identification of different types of system-affiliated hospitals than the AHA, particularly larger and teaching hospitals, supports researchers carefully considering database choice based on their specific research needs when studying health systems, as the AHRQ compendium is public use and contains system-level information",https://academyhealth.confex.com/academyhealth/2022arm/meetingapp.cgi/Paper/52748,
POLICY,Coalition Power How Healthcare Workers and Communities Are Fighting Hospital Downsizing,Lois Uttley,2024,AFT Health Care,American Federation of Teachers,CONTEXTUAL_REFERENCE,"AHRQ data is referenced ""via a secondary source"" to ""quantify"" system numbers and affiliations ""for demonstrating the scale."" This is using an AHRQ-derived statistic (indirectly) to provide context or background on consolidation.",Referenced 2021 AHRQ Compendium data via a secondary source to quantify the number of health systems and hospital-physician affiliations for demonstrating the scale of health system consolidation,Consolidation & Mergers,USA,2021,"Cited findings from the 2021 AHRQ Compendium show that three-quarters of hospitals and more than half of physicians are affiliated with 635 health systems, illustrating the significant market consolidation discussed as a precursor to hospital downsizing","The AHRQ Compendium-derived statistic on the extensive affiliation of hospitals and physicians with 635 health systems supports policy considerations for stronger oversight of health system mergers and acquisitions and their community impacts, such as those being advanced through new state laws and proposed legislation mentioned in the article",https://www.aft.org/hc/fall2024/uttley,
GOVERNMENT,HHS IS TAKING ACTION TO STRENGTHEN PRIMARY CARE,[U.S. Department of Health and Human Services],2023,Not Applicable,U.S. Department of Health and Human Services,CONTEXTUAL_REFERENCE,"The Compendium is ""cited... to illustrate AHRQ's activities."" This is a reference to the Compendium itself as a resource or an example of AHRQ's work, providing context about AHRQ's efforts rather than using its data for analysis","AHRQ Compendium (updated version, year not specified) is cited by this document to illustrate AHRQ's activities for the purpose of building primary care research capacity",Methodology & Data Quality,USA,Not specified in document,"No AHRQ-derived statistic is presented as a key finding, as the AHRQ Compendium is mentioned as a resource AHRQ is updating to build primary care research capacity",AHRQ's action of updating the Compendium of U.S. Health Systems supports the HHS goal of advancing primary care research through improved data infrastructure,https://www.hhs.gov/sites/default/files/primary-care-issue-brief.pdf,
ACADEMIC,Regulating Hospital Prices Based On Market Concentration Is Likely To Leave High-Price Hospitals Unaffected,"Maximilian J Pany, Michael E Chernew, Leemore S Dafny",2021,Health Affairs (Millwood),Harvard University,CONTEXTUAL_REFERENCE,"The AHRQ Compendium is used as an ""alternative data source... for validating market concentration measures."" This is a clear validation/benchmarking use, where AHRQ data supports the robustness of findings derived from another primary source.",Used 2018 AHRQ Compendium as an alternative data source to Torch Insight to link hospitals to health care systems for validating market concentration measures in sensitivity analyses,Market Power & Pricing,USA,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used for sensitivity analyses of hospital system affiliations","The validation of hospital system affiliations using 2018 AHRQ Compendium data in sensitivity analyses lends greater confidence to the study's primary market concentration measures, thereby strengthening the argument that policies should target high hospital prices directly rather than relying solely on market concentration thresholds",https://doi.org/10.1377/hlthaff.2021.00001,
ACADEMIC,NCCN guideline concordance in colon and rectal cancer patients within a comprehensive health system,Tyler P. Robinson; [+ others],2025,The American Journal of Surgery,"Indiana University School of Medicine, IU Health, Regenstrief Institute",PRIMARY_ANALYSIS,"The AHRQ Compendium defines the ""hospital network affiliations"" which are then directly analyzed to understand their relationship with patient behavior and guideline concordance, producing quantitative findings.",Used 2021 AHRQ Compendium of US Health Systems to determine hospital network affiliations for analyzing patient use of unique hospital networks in a study of colorectal cancer guideline concordance,Quality & Outcomes,Indiana,2021,"The 2021 AHRQ Compendium was used to define hospital networks- analysis revealed that 79.3% of patients receiving major non-concordant colorectal cancer care utilized only one hospital network, and colon cancer patients using more than one network had lower odds of major non-concordant care (OR 0.47), suggesting network diversity may influence guideline adherence",The AHRQ-informed finding that colon cancer patients using multiple hospital networks had less non-concordant care supports policies or system interventions encouraging inter-network consultations or referrals for complex cases to improve adherence to NCCN guidelines within a comprehensive health system,https://doi.org/10.1016/j.amjsurg.2024.116114,
ACADEMIC,Association of Hospital Flagship System Affiliation on Surgical Outcomes Following Complex Cancer Surgery,Muhammad Musaab Munir; [+ others],2025,Journal of the National Comprehensive Cancer Network,The Ohio State University,RESEARCH_ENABLER,"The AHRQ Compendium is used ""to define hospital systems based on its criteria."" This adoption of AHRQ's definitional criteria and system structures provides the methodological framework for identifying different types of hospitals (flagship, affiliate) which are then compared.","Used 2018 AHRQ Compendium to define hospital systems based on its criteria of common ownership or joint management for identifying flagship systems, flagship hospitals, and affiliate hospitals for analyzing differences in complex cancer surgery outcomes",Quality & Outcomes,Multi-state,2018,"No AHRQ-derived statistic is presented as a key finding, as AHRQ data were used for defining hospital systems and their components (flagship, affiliate) for the study's comparative analysis of surgical outcomes","The study's use of the AHRQ Compendium to define hospital system types for comparing surgical outcomes highlights that such classifications can inform policies regarding care regionalization, quality improvement within health systems, and considerations of value given that flagship hospitals showed better outcomes but higher costs",https://doi.org/10.6004/jnccn.2024.7096,
ACADEMIC,Effects of Marylandâ€™s All-Payer Model on Elective Joint Replacement Surgery,"Meiling Ying, Addison Shay,; [+ others]",2025,The American Journal of Managed Care,"New York University Langone Health, University of Michigan, University of Florida",PRIMARY_ANALYSIS,"The AHRQ Compendium is used to ""identify"" and categorize Maryland hospitals based on affiliation status. This AHRQ-derived categorization directly leads to the reported finding that ""hospitals with affiliates had a comparatively lower growth in elective joint replacement rates..."" The analysis of differential impacts is based on these AHRQ-identified groups.",Used Compendium of U.S. Health Systems (year not specified in method description) to identify 21 Maryland hospitals without affiliates in adjacent states and 15 Maryland hospitals with affiliated hospitals in adjacent states for analyzing differential impacts of the All-Payer Model,Vertical Integration,Maryland,Not specified in document,"AHRQ Compendium data identified 21 Maryland-only hospitals and 15 Maryland hospitals with out-of-state affiliates, analysis showed hospitals with affiliates had a comparatively lower growth in elective joint replacement rates within Maryland (ARR 0.87) and an increase in such surgeries for Maryland residents at their out-of-state affiliated hospitals post-All-Payer Model implementation","The AHRQ Compendium's use to distinguish hospitals by system affiliation highlighted that state-level payment reforms like Maryland's All-Payer Model might induce care shifting to out-of-state affiliates, indicating a need for policymakers to consider broader health system structures and potential interstate dynamics when designing and evaluating such models",https://doi.org/10.37765/ajmc.2025.89735,
OTHER,CHARTING CHRONICITY: A THEMATIC ANALYSIS OF CLINICAL PAIN ASSESSMENT TOOLS AND PATIENT DOCUMENTATION DESIGN,Adrianna Deptula,2025,Not Applicable,Purdue University,RESEARCH_ENABLER,"The AHRQ Compendium is used to ""identify U.S. healthcare systems and locate... clinics"" to define the sites ""for the purpose of collecting patient intake forms."" This is a clear use of AHRQ for sampling and site selection, a foundational methodological step",Used 2022 AHRQ Compendium to identify U.S. healthcare systems and locate associated outpatient pain and spine clinics for the purpose of collecting patient intake forms for thematic analysis,Methodology & Data Quality,USA,2022,"No AHRQ-derived statistic is presented as a key finding, as the AHRQ Compendium was used to identify healthcare systems for the collection of patient intake forms",The use of the AHRQ Compendium in this research to sample healthcare systems for document analysis supports the broader policy consideration of leveraging national data resources to investigate and improve healthcare documentation and patient communication,https://hammer.purdue.edu/articles/thesis/_b_Charting_Chronicity_A_Thematic_Analysis_of_Clinical_Pain_Assessment_Tools_and_Patient_Documentation_Design_b_/28871063?file=53996450,
ACADEMIC,"Entrenched Opportunity: Medicaid, Health Systems, and Solutions to Homelessness","Charley E. Willison, Naquia A. Unwala, Katarzyna Klasa",2025,"Journal of Health Politics, Policy and Law","Cornell University, University of Michigan",RESEARCH_ENABLER,"AHRQ is used ""to identify the 100 largest health systems by bed size."" These identified systems then become the cohort for the study examining their investments. AHRQ defines who is being studied. (The finding ""54%... had a formal program"" is about this AHRQ-defined cohort, but the ""formal program"" status likely comes from surveying/researching those 100 systems, not directly from an AHRQ variable).",Used 2018 AHRQ Compendium of US Health Systems to identify the 100 largest health systems by bed size for a study examining health system investments and programs addressing homelessness,Health Equity & Access,USA,2018,"The AHRQ Compendium (2018 data) was used to identify the 100 largest health systems- analysis of these systems revealed that 54% (54 systems) had a formal program to address homelessness, indicating significant engagement by major health systems in this social determinant of health",The AHRQ Compendium-facilitated finding that over half of the largest US health systems have homelessness mitigation programs highlights their growing role in social policy- this supports careful consideration of how these powerful institutions integrate with existing homelessness response systems (CoCs) to avoid displacing local expertise while leveraging health system resources,https://doi.org/10.1215/03616878-11567700,
ACADEMIC,The Anatomic Pathology Hospitalist Model A Novel Approach to Frozen Section Practice in a Tertiary Care Center,Ellen E. Chapel; [+ others],2025,Archives of Pathology & Laboratory Medicine,University of Michigan,CONTEXTUAL_REFERENCE,"AHRQ Compendium data is cited ""via a Health Affairs Forefront article"" to provide statistics ""for contextualizing."" This is an indirect citation used for background information.",Cited a Health Affairs Forefront article which used 2021 AHRQ Compendium data to provide statistics on physician affiliation with vertically integrated health systems for contextualizing the evolving landscape of healthcare consolidation affecting pathology practices,Consolidation & Mergers,Michigan,2021,"Referenced 2021 AHRQ Compendium data (via a Health Affairs Forefront article) showed that 52% of US physicians were affiliated with a vertically integrated health system, illustrating the increasing consolidation trend relevant to changes in pathology practices","The AHRQ Compendium-informed statistic highlighting increased physician affiliation with health systems supports the paper's premise that evolving healthcare landscapes, characterized by consolidation, necessitate innovative staffing models in pathology like the described AP hospitalist model to address emerging challenges",https://meridian.allenpress.com/aplm/article/149/5/469/503034/The-Anatomic-Pathology-Hospitalist-Model-A-Novel,
